,id,admiration, amusement, anger, annoyance, approval, caring, confusion, curiosity, desire, disappointment, disapproval, disgust, embarrassment, excitement, fear, gratitude, grief, joy, love, nervousness, optimism, pride, realization, relief,remorse, sadness, surprise, neutral, bad_string,tag_agreement,string,target_string,top_tag,total_tags
1149,22258086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Thank you for hearing.-- And then he says this he says didn't I tell you if you would just believe God's glory is going to come verse 41, so they rolled the stone aside. Then Jesus looked up to heaven and he said father.<b> Thank you for hearing.</b> Me it always hearing he me, but I said it out loud for the sake of all these people standing here so that they will believe that you sent me verse 43.--22258086.0", Thank you for hearing., gratitude,1
1278,25471495,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"And I gave it to Isaac and it's got a point where mostly he's just like yeah, great.-- I'm playing go every night. There's no I mean<b> And I gave it to Isaac and it's got a point where mostly he's just like yeah, great.</b> If we're playing the same venue two nights in a row.--25471495.0"," And I gave it to Isaac and it's got a point where mostly he's just like yeah, great.",admiration,1
35,8688618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"--I don't gory as if you have any questions for me, you can wait till we are alive and asked me on the body butter. <b> Okay, let's say wait And even though we hadn't even gotten any questions y'all ask me on my story on Instagram how good am I doing by the way on Instagram? </b> I got it swipe up. I got not even do a story until a couple months ago.--8688618"," Okay, let's say wait And even though we hadn't even gotten any questions y'all ask me on my story on Instagram how good am I doing by the way on Instagram? ", neutral,1
172,1543096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"--Yeah, so pretty much just your friend. <b> I think we just need a few more so you know, what I'll do, I'll create a channel in the Discord. </b> That's all out kind of paper RPG or something like that. You know - oh, yeah you do.--1543096"," I think we just need a few more so you know, what I'll do, I'll create a channel in the Discord. ", neutral,1
169,1500769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,nd then what happened is he had Adam name the animals and Adam discovered through that process.-- And so what happened? He said it's not good for man to be alone.<b> And then what happened is he had Adam name the animals and Adam discovered through that process.</b> But there was no animal that would fit a need for him to have that kind of intimacy and that kind of companionship.--1500769., And then what happened is he had Adam name the animals and Adam discovered through that process., realization,1
649,10123847,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,hat's the best way to describe unicorns face something that really Sparks your lights your fire.-- So unicorn space self-care are different and I think it's a really Important distinction because she emphasizes that self-care is like a really necessary part of life that you don't want to lump into this other really important part of life.<b> What's the best way to describe unicorns face something that really Sparks your lights your fire.</b> Yeah and lights your fire.--10123847., What's the best way to describe unicorns face something that really Sparks your lights your fire.,admiration,2
647,10080791,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"--Why is it a problem when it's on a black girl, but not when it's on a girl of another race. <b> She looks different because she's mimicking someone else like that just used to get on my nerves so much and I just hated how guys would try and tell me to be less black in the club. </b> Like customers would try that to me. Like I'm I will never forget.--10080791", She looks different because she's mimicking someone else like that just used to get on my nerves so much and I just hated how guys would try and tell me to be less black in the club. , anger,2
1265,25044373,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,hat is it usatf Minnesota or I don't even know what it's called.-- The Minnesota that are like usatf Minnesota and so like the most competitive fastest people that live here they come out and raise. So people we even have a team like USA.<b> What is it usatf Minnesota or I don't even know what it's called.</b> That's probably what it's called right that Dennis Barker her cold used to be the head coach of and it's basically professional athletes that get paid stipends just to run so people are at that level and all those people have like OT cues and they come out.--25044373., What is it usatf Minnesota or I don't even know what it's called., curiosity,1
1577,33037030,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"If people are keen on helping with testing it does take some technical skill, but people might be willing to help out and it's-- Maybe not all your coins. If you don't know what you're doing, then be great.<b> If people are keen on helping with testing it does take some technical skill, but people might be willing to help out and it's</b> Be useful just to Simply test whether something actually does what it says.--33037030.0"," If people are keen on helping with testing it does take some technical skill, but people might be willing to help out and it's", caring,3
597,9129873,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"--Yeah, and it's necessary fun fun. <b> Is it true that you're curious about learning about and hearing discussed true? </b> All right, I'll give you that. I'll give you fun.--9129873", Is it true that you're curious about learning about and hearing discussed true? , curiosity,1
