user,string,id,admiration, amusement, anger, annoyance, approval, caring, confusion, curiosity, desire, disappointment, disapproval, disgust, embarrassment, excitement, fear, gratitude, grief, joy, love, nervousness, optimism, pride, realization, relief,remorse, sadness, surprise, neutral, bad_string
anne,"--So that's going to be important and I think the other is how chaotic the home environment <b> Well, it's going to create significant problems with the child feeling overwhelmed by that environment. </b> So I guess it's The nearly an enema is it?--9996881",9996881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anne,-You're talking about a great number of people and a great number of nice doesn't how many people can you handle? <b> Why is because of love? </b> And very businesslike and during direct with you. So I'm very sorry and I can do.--273832,273832,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anne,"--Okay, because it is not for everyone. <b> Okay, and you use it. </b> Once you start having sex on a consistent basis. Okay, and it makes sex better, especially probably for her.--30768940",30768940,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anne,"--It was hilarious because everybody pulled every muscle in the body. <b> We'd have like two guys that could run the bases who have to pinch Runners, you know, I can hit but I can't run. </b> Wow, you gonna do what it but so how do the Royals look for this season coming up, you know last year was a tough year for the Royals and And this year I don't know if that's going to change a whole lot but they got great players.--7071339",7071339,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anne,-I know I need to read the book more and I will I have read it one time and will continue to read it. <b> I used to read about pick up and found much success. </b> The problem is I could get laid but never had the relationships. I wanted I would meet a girl and throw myself into a relation.--2605427,2605427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
anne,"--They live busy lives. <b> But yeah when you're an adult because you're more reserved and you put your guards up a little bit more. </b> It's not just like it's easy well for me anyway, I don't know but just you know, that's way more fit. Yeah, you've been through a lot more life experience.--4887109",4887109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
anne,-We're going to be building upon these neurotransmitters and the functions of the neurons to see all the things that are around us in the world and to hear and touch and feel. <b> Most of them are found in the foods that are around us. </b> So eat a balanced diet beef up your neurotransmitters think happy thoughts activating all those neurons in your brain.--296676,296676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
anne,-You don't have because it's not it's called a timing difference. <b> So that can create a problem. </b> If you constantly buy new assets. If you're a company that you're constantly buy new tools and new equipment new things like that.--749204,749204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
anne,"--I shook my head and went back to kicking lumps of coal, then the noise came again, but this time closer and louder and I stopped. <b> Especially not one of the farmers Collies which I had heard a growl few times before and mostly had a yapping type bark the growl came again loud and threatening in my friend and I looked at each other with that wide. </b> I look a fear you might see in a horror movie right before someone's head with rolling to the ground. That's where I looked behind my friend into the deep Darkness between the Hedge in the side of the house where the path was leading into the fenced off backyard.--8086007",8086007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anne,-Obviously this self-sabotage you're talking about has a positive intent. <b> I guess maybe I just want to know that people love me. </b> I said hmm interesting. I never even realize that till just now I said see people don't sabotage.--931353,931353,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anne,"--This is Reuben lovely cheek. <b> You're listening to the London is blue or cocks. </b> All right, Chelsea fans, welcome back to another episode of the London is blue part. Ask your host Brandon here Dan not hanging out tonight.--27303357",27303357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
