,string,stringID,tag1,score1,tag2,score2,tag3,score3
0,Useful for them to hear about the therapy process and then there's a part of it ,70590,neutral,0.5566584,curiosity 🤔,0.36844334,approval 👍,0.36686784
1,"Before you get into this management lock because it's it's great fun, but challenging the genuine reasons need to be there because I think what a lot of people don't realize is that want to step into management ",113791,admiration 👏,0.56747645,annoyance 😒,0.3789424,anger 😡,0.3768595
2,I first picked but the next two picks that really or maybe just the third pick I guess because nothing wrong with the second trick ,11843,neutral,0.44603628,approval 👍,0.3805332,confusion 😕,0.37440825
3,"Okay, so we talked about April 2016, right and then start blogging about common consent ",55688,neutral,0.5551586,annoyance 😒,0.39184657,approval 👍,0.3690825
4,I'm good a lot of talent ,116973,admiration 👏,0.64636743,sadness 😞,0.37820777,approval 👍,0.37397677
5,Happily of haffley's probably that the wrong word ,15990,neutral,0.5368286,disapproval 👎,0.39429697,curiosity 🤔,0.3821846
6,I've got like a list of them in front of me that I've written out and I'm trying to decide which five I think of the most common in that ,23301,neutral,0.45143327,approval 👍,0.3744942,disappointment 😞,0.3639411
7,You've also put down in summary in summary notes that ,16470,neutral,0.6191105,sadness 😞,0.36825392,pride 😌,0.36226442
8,It blows my mind ,97038,neutral,0.5270069,excitement 🤩,0.3738356,surprise 😲,0.35909754
9,A really did everything you needed to so your way in the clear ,93418,neutral,0.42916945,curiosity 🤔,0.40998587,anger 😡,0.38885468
10,"Listen, he's not always born like how he was when you came with who's super quiet, right ",5466,curiosity 🤔,0.40461245,neutral,0.38166577,disapproval 👎,0.37968948
11,Just let the sofa cushions ,40810,neutral,0.67861116,anger 😡,0.4005693,annoyance 😒,0.37118188
12,I want chicken Brandy ,100404,desire 😍,0.6209794,approval 👍,0.39136147,excitement 🤩,0.38852453
13,Yeah the Sox have swear words on them ,124336,neutral,0.6691478,curiosity 🤔,0.37972954,disgust 🤮,0.35586765
14,It's not just real estate talk ,65650,neutral,0.5085757,disapproval 👎,0.43639705,sadness 😞,0.39276293
15,So that is personal self care ,88801,anger 😡,0.3912244,neutral,0.38620675,admiration 👏,0.38221398
16,So the last thing like you both guys were surprised when I said I was and I was so I'm pretty sure he felt the same way was like I'm taking this game person ,4243,approval 👍,0.38837013,surprise 😲,0.38378343,admiration 👏,0.3806854
17,I need to take up the governor and I'm now a tear myself ,81420,neutral,0.42201704,approval 👍,0.38260177,desire 😍,0.38034984
18,I have to go you guys can go play outside right ,92770,neutral,0.5589664,approval 👍,0.38805678,caring 🤗,0.3712998
19,Leaving the church a and working to help these people my attitude just changed ,39658,neutral,0.43238655,annoyance 😒,0.37622947,anger 😡,0.37054992
20,"Doesn't correlate with your feed then you you're probably going to you know, I have one model who has photos from he says she can't wait suppose ",77352,neutral,0.52682173,curiosity 🤔,0.38531125,confusion 😕,0.36904898
21,So this week I'm looking at other things that have been going up to over the Christmas break and we're quite big fans in the nail household of going to the cinema ,77880,neutral,0.4292067,curiosity 🤔,0.38438177,annoyance 😒,0.37518418
22,"We're leaving this, you know, this Palace way out in the middle of nowhere away from the people and you're going to be accountable to the people again ",17587,neutral,0.527474,annoyance 😒,0.3888305,anger 😡,0.3830778
23,"Yeah, I would say so ",53620,neutral,0.41380775,approval 👍,0.37979734,realization 💡,0.36814013
24,Is that what they say ,135340,neutral,0.69541526,curiosity 🤔,0.5115301,confusion 😕,0.4313682
25,I just hope no one shows up here ,96422,optimism 🤞,0.999275,desire 😍,0.40322828,caring 🤗,0.38050357
26,"And if not as soon as he goes inside the arc, let him bill ",4185,neutral,0.7325864,disapproval 👎,0.4026631,annoyance 😒,0.37615722
27,Thank you Elizabeth miss you ,31698,gratitude 🙏,0.99784756,curiosity 🤔,0.42670396,anger 😡,0.3779631
28,Happened and day out ,91196,neutral,0.6454818,curiosity 🤔,0.37215772,excitement 🤩,0.36795613
29,So this week I'm looking at other things that have been going up to over the Christmas break and we're quite big fans in the nail household of going to the cinema ,77880,neutral,0.4292067,curiosity 🤔,0.38438177,annoyance 😒,0.37518418
30,"Basically, it's everything you need to make a podcast all in one handy place ",63209,annoyance 😒,0.38023287,curiosity 🤔,0.37251583,anger 😡,0.3673776
31,"We're leaving this, you know, this Palace way out in the middle of nowhere away from the people and you're going to be accountable to the people again ",17587,neutral,0.527474,annoyance 😒,0.3888305,anger 😡,0.3830778
32,"And if not as soon as he goes inside the arc, let him bill ",4185,neutral,0.7325864,disapproval 👎,0.4026631,annoyance 😒,0.37615722
33,"Before you get into this management lock because it's it's great fun, but challenging the genuine reasons need to be there because I think what a lot of people don't realize is that want to step into management ",113791,admiration 👏,0.56747645,annoyance 😒,0.3789424,anger 😡,0.3768595
34,So that is personal self care ,88801,anger 😡,0.3912244,neutral,0.38620675,admiration 👏,0.38221398
35,I'm sure you'll be back on you ,109510,neutral,0.5271298,sadness 😞,0.375952,approval 👍,0.37448463
36,That compares to only 42 members of the Donner Party who perished in the Sierras yet ,52979,neutral,0.59337324,annoyance 😒,0.3735224,curiosity 🤔,0.3596985
37,So like I have friends that will get like lifeguards on hand when you have that many people I still get so scared about having kids around ,101908,approval 👍,0.37785017,sadness 😞,0.37198576,annoyance 😒,0.37109074
38,Is that what they say ,135340,neutral,0.69541526,curiosity 🤔,0.5115301,confusion 😕,0.4313682
39,"Yeah, it only got to me like straight up ",257,neutral,0.48938632,approval 👍,0.36209342,disappointment 😞,0.36070982
40,Apparently he one of his buddies brought a bunch of white t-shirts to school and a Sharpie and they made gang shirts ,50191,neutral,0.5883624,excitement 🤩,0.35950264,nervousness 😬,0.35628948
41,We believe that in Dan ,41265,neutral,0.59028244,sadness 😞,0.3756059,surprise 😲,0.37000838
42,"So yeah, the only thing ",76440,neutral,0.5536738,approval 👍,0.36636454,excitement 🤩,0.357304
43,I have to go you guys can go play outside right ,92770,neutral,0.5589664,approval 👍,0.38805678,caring 🤗,0.3712998
44,At number 4 South East Melbourne gets the ball and we're going the other way and eventually eventually Mitch by the niche and Jake rocket take off like a rocket bringing the truth from the roof for the Phoenix at number four on to number three and The Once and Future ,2426,neutral,0.59520245,annoyance 😒,0.36620435,approval 👍,0.3598871
45,And you did have this guy like from the Press like we were talking earlier who really cemented that fact of just of of just like that if we just kill more people if we just killed that next person ,17781,neutral,0.50375545,curiosity 🤔,0.3875969,annoyance 😒,0.37489069
46,Yeah the Sox have swear words on them ,124336,neutral,0.6691478,curiosity 🤔,0.37972954,disgust 🤮,0.35586765
47,You've also put down in summary in summary notes that ,16470,neutral,0.6191105,sadness 😞,0.36825392,pride 😌,0.36226442
48,"I mean, there's no magic bullet here Daryl at all ",74348,neutral,0.51532435,approval 👍,0.37924004,disapproval 👎,0.37691498
49,Happily of haffley's probably that the wrong word ,15990,neutral,0.5368286,disapproval 👎,0.39429697,curiosity 🤔,0.3821846
50,Happened and day out ,91196,neutral,0.6454818,curiosity 🤔,0.37215772,excitement 🤩,0.36795613
51,So the last thing like you both guys were surprised when I said I was and I was so I'm pretty sure he felt the same way was like I'm taking this game person ,4243,approval 👍,0.38837013,surprise 😲,0.38378343,admiration 👏,0.3806854
52,Thank you Elizabeth miss you ,31698,gratitude 🙏,0.99784756,curiosity 🤔,0.42670396,anger 😡,0.3779631
53,I first picked but the next two picks that really or maybe just the third pick I guess because nothing wrong with the second trick ,11843,neutral,0.44603628,approval 👍,0.3805332,confusion 😕,0.37440825
54,"Okay, I would actually like to Niche down to working with former gang members and drug dealers, you know, because being a criminal could be so Broad and that's that's personal passion ",70270,neutral,0.4148488,approval 👍,0.37538686,annoyance 😒,0.37332034
55,"Yeah, I would say so ",53620,neutral,0.41380775,approval 👍,0.37979734,realization 💡,0.36814013
56,It's not just real estate talk ,65650,neutral,0.5085757,disapproval 👎,0.43639705,sadness 😞,0.39276293
57,I want chicken Brandy ,100404,desire 😍,0.6209794,approval 👍,0.39136147,excitement 🤩,0.38852453
