id,admiration, amusement, anger, annoyance, approval, caring, confusion, curiosity, desire, disappointment, disapproval, disgust, embarrassment, excitement, fear, gratitude, grief, joy, love, nervousness, optimism, pride, realization, relief,remorse, sadness, surprise, neutral, bad_string,tag_agreement,string,target_string,top_tag
4847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-So the thing about what's also it's in the Geneva Convention and in other like were in word only agreements about torture is because it's not legally binding and there's not any law that the United States is being held to about this which is freaky if you think about it like the United States as a government is not being held to a lot there is no Global. <b> You can debug almost with United Nations. </b> Like the United States doesn't really do anything the like it's something like 80% of you. When troops are American America controls the UN it's amazing.--4847, You can debug almost with United Nations. , neutral
32364,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-They believed that England had written the terms. <b> Even the khedive the Islamic head of state highlighted galleys weakness stating let Egypt know that it is with a tearing pain that my Minister of Foreign Affairs signed the act of condominium imposed by the inflexible Lord Cromer without this agreement. </b> It's entirely likely that the British could have anacs-- Sudan or taken it by force but to the Egyptian people People the compromise still felt like a loss and since golly was the public face of the deal.--32364, Even the khedive the Islamic head of state highlighted galleys weakness stating let Egypt know that it is with a tearing pain that my Minister of Foreign Affairs signed the act of condominium imposed by the inflexible Lord Cromer without this agreement. , anger
44522,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-Yeah the super like double decker buses you no soup. <b> Is that Canadian shade? </b> I just feel like he's awful. I want I watched enough Newcastle last season to a level that that referees this idea and we would be just like the one I want.--44522, Is that Canadian shade? , confusion
59047,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-Was some who still claim that the work of those it professionals did matter that solving a bunch of small problems had prevented a holiday meltdown even worse. <b> Up next we'll explore the Y2K debate further and look at whether such a thing could ever happen again. </b> Now back to the story. As we've seen the Y2K phenomenon at the turn of the Millennium was a huge concern for both governments and individuals across the globe when January first two thousand came and went with no doomsday.--59047, Up next we'll explore the Y2K debate further and look at whether such a thing could ever happen again. , curiosity
60586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"--So yeah, so the house that we live in everyone in this art and our household to work for Americorps. <b> So my school is also a Catholic school. </b> We should say that we both work in Catholic schools, but there are a bunch of public schools that work. That is very true.--60586", So my school is also a Catholic school. , neutral
66956,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"--Opsec tration around the myth. <b> It's a good job. </b> It's a real bug Cena demo. I look at guys, but they say oh that was some people say, you know what I can taste, but I know--66956", It's a good job. , approval
81425,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-What are you doing? <b> Are you partying all the time and then eating fast food when you get back home. </b> Are you drinking a beer every day? Are you sitting your ass on the couch and watching Netflix all fucking day are you eating out?--81425, Are you partying all the time and then eating fast food when you get back home. , disgust
88295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-But at this point in the season at three seven and one <b> Ski can't throw a football more than five yards down the field. </b> His job is on the line. He's hard to back as well.--88295, Ski can't throw a football more than five yards down the field. , neutral
99562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-She's also on Love & Hip Hop ATL. <b> She posted the following. </b> She says North Atlanta High School allowed an adult to come into the school today and fought my 14 year old daughter. Watch Channel 2 News.--99562, She posted the following. , neutral
122216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"--So they did a good job of limiting what Colin Hill could do but I still you know, you've got two guys that ran for over eight yards a carry do both those running backs. <b> I got to get fixed through the year. </b> Just the last thing here they've given up 480 yards through three games on a hundred and three attempts. That's almost five yards a carry.--122216", I got to get fixed through the year. , optimism
123511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-To show us what it looks like when every agreement he had was with his father with the word Incorruptible uncompromising all love always and all conditions. <b> over and over in the desert under pain under pressure in death. </b> Why did Jesus would hanging on the cross and they say pull yourself off this Cross of you are the king of the Jews if you're the Son of God and he looks at me his mother Mary. Do you not think for one second if he had a spiritual agreement with Mary?--123511, over and over in the desert under pain under pressure in death. , grief
165236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-As far as the epidemiology of Mont Asia fractures. <b> They are more common in children with the peak incidence between 4 and 10 years of age. </b> There's a different treatment protocol for children and we'll discuss that in a In another podcast episode as far as Associated injuries with Montage or fractures.--165236, They are more common in children with the peak incidence between 4 and 10 years of age. , neutral
167027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,- data/raw/spotify-podcasts-2020/podcasts-transcripts/0/I/show_0iTCd3QrMD8jDdVoMmRI89/1A0LWLoA8yVF287SUvvfdw.json <b> Welcome back to the Fowler. </b> I'm joined by Sam does design AKA Sam guilt. He's an industrial designer at precipice design over in London.--167027, Welcome back to the Fowler. , neutral
